,,,"Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business","Percentage of those involved in TEA who expect to create 6 or more jobs in 5 years"
code,economy,year,"Total early-stage Entrepreneurial Activity (TEA)","High Job Creation Expectation"
55,Brazil,2023,18.62,31.36
101,Canada,2023,19.76,24.80
56,Chile,2023,31.05,32.87
86,China,2023,6.82,17.60
57,Colombia,2023,23.57,21.60
385,Croatia,2023,13.15,20.32
357,Cyprus,2023,11.04,28.53
593,Ecuador,2023,32.65,5.85
372,Estonia,2023,13.09,16.35
33,France,2023,10.75,23.17
49,Germany,2023,7.69,21.16
30,Greece,2023,6.74,12.12
502,Guatemala,2023,32.39,25.67
36,Hungary,2023,9.88,16.50
91,India,2023,12.00,8.42
98,Iran,2023,9.75,20.13
972,Israel,2023,8.74,17.15
39,Italy,2023,8.33,16.74
962,Jordan,2023,15.70,14.28
371,Latvia,2023,14.34,29.55
370,Lithuania,2023,6.68,16.63
352,Luxembourg,2023,9.67,24.92
52,Mexico,2023,16.84,30.71
212,Morocco,2023,6.29,16.98
31,Netherlands,2023,13.69,15.13
47,Norway,2023,6.92,23.17
968,Oman,2023,10.64,13.26
507,Panama,2023,31.31,28.23
48,Poland,2023,2.59,14.49
787,"Puerto Rico",2023,22.30,35.19
974,Qatar,2023,14.26,57.63
40,Romania,2023,5.85,25.88
966,"Saudi Arabia",2023,25.34,29.46
421,Slovakia,2023,10.75,38.32
386,Slovenia,2023,7.07,18.29
27,"South Africa",2023,11.11,21.42
82,"South Korea",2023,10.23,15.59
34,Spain,2023,6.79,10.07
46,Sweden,2023,9.25,16.35
41,Switzerland,2023,10.29,14.40
66,Thailand,2023,23.62,32.28
44,"United Kingdom",2023,11.76,25.15
1,"United States",2023,14.71,28.80
598,Uruguay,2023,26.24,24.13
58,Venezuela,2023,22.67,20.88
