"Werkzame beroepsbevolking; positie in de werkkring"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Onderwerp: |Werkzame beroepsbevolking"
"";"Perioden"
"";"2013";"2014";"2015 ";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Positie in de werkkring";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000"
"Totaal";"8433";"8382";"8458";"8570";"8744";"8939";"9117";"9116";"9255";"9548";"9737";"9798";"9833"
"Werknemer";"7199";"7132";"7191";"7270";"7422";"7604";"7761";"7703";"7810";"8009";"8151";"8183";"8290"
"Werknemer met vaste arbeidsrelatie";"4723";"4613";"4608";"4622";"4672";"4814";"4996";"5158";"5230";"5318";"5416";"5500";"5602"
"Werknemer met flexibele arbeidsrelatie";"2476";"2519";"2583";"2647";"2751";"2791";"2765";"2545";"2580";"2692";"2735";"2682";"2688"
"Werknemer tijdelijk, uitzicht op vast";"387";"370";"411";"443";"523";"586";"589";"565";"520";"602";"643";"626";"620"
"Werknemer tijdelijk >= 1 jaar";"306";"317";"294";"270";"259";"257";"231";"245";"353";"401";"387";"377";"371"
"Werknemer tijdelijk < 1 jaar";"258";"253";"258";"278";"299";"267";"278";"249";"263";"273";"278";"260";"261"
"Oproep/-invalkracht";"1186";"1205";"1223";"1221";"1241";"1240";"1242";"1142";"940";"923";"962";"967";"988"
"Uitzendkracht";"339";"375";"397";"436";"428";"441";"426";"343";"423";"407";"379";"362";"344"
"Werknemer flex, contract onbekend";".";".";".";".";".";".";".";".";"81";"85";"87";"90";"104"
"Zelfstandige";"1234";"1251";"1267";"1300";"1322";"1335";"1356";"1413";"1445";"1539";"1586";"1615";"1543"
"Zzp-eigen arbeid";"701";"709";"721";"744";"766";"799";"823";"853";"895";"991";"1037";"1079";"1023"
"Zzp-producten";"194";"207";"215";"216";"219";"200";"196";"201";"183";"184";"192";"183";"177"
"Meewerkend gezinslid";"38";"36";"40";"34";"26";"26";"27";"30";"33";"32";"29";"25";"25"
"Zelfstandige met personeel (zmp)";"302";"299";"290";"306";"311";"310";"310";"329";"334";"331";"327";"328";"318"
"Zelfstandige zonder personeel (zzp)";"894";"916";"936";"960";"986";"999";"1019";"1054";"1078";"1176";"1230";"1262";"1200"
"Bron: CBS"
